Location,Latitude,Longitude,Country,County,Reported Location,Crash ID,Crash Date,Year,Month,Crash Time,Quarter of the day,Crash Type,Severity,Pedestrians,Pedestrian Casualties
"-35.239932, 149.06637",-35.239932,149.06637,"Australian Capital Territory, Cohen Street, Belconnen 2617, Australia", Belconnen 2617,COHEN STREET (BELCONNEN BUS WAY -> BENJAMIN),1167662,12/07/2017,2017,July,15:10,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.272894, 149.119504",-35.272894,149.119504,"Barry Drive before Clunies Ross Street, Australian Capital Territory, Barry Drive, Acton 2601, Australia", Acton 2601,BARRY DRIVE (CLUNIES ROSS / FROGGATT -> BOLDREWOOD),1113684,18/06/2015,2015,June,07:50,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.175197, 149.090539",-35.175197,149.090539,"Overall Avenue After Tipett Street, Australian Capital Territory, Overall Avenue, Casey 2913, Australia", Casey 2913,OVERALL AVENUE (BOYER -> JOHN CRAWFORD),1143573,09/09/2016,2016,September,16:30,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.245794, 149.091004",-35.245794,149.091004,"Australian Capital Territory, Battye Street, Bruce 2617, Australia", Bruce 2617,RADFORD COLLEGE ACCESS STH ROAD ROAD (BATTYE / HAYDON -> RADFORD),1149756,14/10/2016,2016,October,15:35,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.278018, 149.132666",-35.278018,149.132666,"Westpac, Australian Capital Territory, Bunda Street, City 2601, Australia", City 2601,BUNDA STREET (GAREMA -> GENGE),1132854,15/04/2016,2016,April,18:00,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.316617, 149.125001",-35.316617,149.125001,"Australian Capital Territory, Hobart Avenue, Forrest 2603, Australia", Forrest 2603,HOBART AVENUE (DOMINION / TASMANIA -> NATIONAL),1107428,27/03/2015,2015,March,17:20,Afternoon,Struck pedestrian (Off Road),Property Damage Only,2,0
"-35.364334, 149.092459",-35.364334,149.092459,"Australian Capital Territory, Beasley Street, Torrens 2607, Australia", Torrens 2607,ATHLLON/BEASLEY/MAWSON INTERSECTION,1214064,26/08/2019,2019,August,08:55,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.342995, 149.086008",-35.342995,149.086008,"Australian Capital Territory, Bowes Street, Phillip 2606, Australia", Phillip 2606,BOWES STREET (ATLANTIC / MATILDA -> BOWES),1098250,29/10/2014,2014,October,12:45,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.220495, 149.017773",-35.220495,149.017773,"7-Eleven Holt, Australian Capital Territory, Hardwick Crescent, Holt 2615, Australia", Holt 2615,HARDWICK CRESCENT (HARDWICK CARPARK S -> STARKE),1153626,15/09/2016,2016,September,12:26,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.306193, 149.1333",-35.306193,149.1333,"Barton Bus Station, Australian Capital Territory, National Circuit, Barton 2600, Australia", Barton 2600,NATIONAL CIRCUIT (BLIGH -> KINGS / QUEEN VICTORIA),1222436,09/01/2020,2020,January,17:20,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.2778, 149.132374",-35.2778,149.132374,"Australian Capital Territory, Garema Centre, Bunda Street, City 2601, Australia", City 2601,BUNDA STREET (GAREMA -> GENGE),1076049,27/11/2013,2013,November,12:00,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.248588, 149.137468",-35.248588,149.137468,"Coles Express, Australian Capital Territory, Antill Street, Dickson 2602, Australia", Dickson 2602,ANTILL STREET (BADHAM -> ANTILL SRV.RD ACCESS),1108881,25/04/2015,2015,April,20:30,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.275864, 149.130507",-35.275864,149.130507,"Australian Capital Territory, Cooyong Street, City 2601, Australia", City 2601,COOYONG STREET (BARRY / NORTHBOURNE -> MORT),1107693,21/03/2015,2015,March,13:50,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.220794, 149.105695",-35.220794,149.105695,"St Simons, Australian Capital Territory, Bemboka Crescent, Kaleen 2617, Australia", Kaleen 2617,BEMBOKA CRESCENT (STAATEN -> COOKS),1196096,15/11/2018,2018,November,18:30,Evening,Struck pedestrian (Off Road),Property Damage Only,1,0
"-35.328966, 149.178229",-35.328966,149.178229,"Newcastle Street before Wollongong Street, Australian Capital Territory, Newcastle Street, Fyshwick 2609, Australia", Fyshwick 2609,NEWCASTLE STREET (MOLONGLO / WOLLONGONG -> COLLIE),1076643,24/10/2013,2013,October,11:35,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
